datetime,open,high,low,close,volume
2007-09-17,6897.919682068038,7506.262696305653,6842.920322469062,7464.4130859375,0
2007-09-24,7514.312761283686,8082.756364539167,7490.113334885375,8042.10693359375,0
2007-10-01,8008.456595494595,8235.703950597628,7789.609533246847,7845.15869140625,0
2007-10-08,7853.058557603923,8177.654879639965,7516.362766930761,7933.90771484375,0
2007-10-15,7962.457106930863,8491.55153322873,7279.215061134451,7423.71337890625,0
2007-10-22,7374.264501546768,8804.798189724876,7289.11558756135,8749.798828125,0
2007-10-29,8917.945959807614,9610.588284970074,8832.397151291852,9560.5888671875,0
2007-11-05,9549.6890948119,9692.387635815283,8671.2998639461,8760.6484375,0
2007-11-12,8596.050265696855,9651.737188034669,8429.25142728353,9474.0400390625,0
2007-11-19,9540.988562211858,9595.338515572546,8649.899324186887,8977.7958984375,0
2007-11-26,9135.943225966077,9437.840094701603,8937.995339887784,9375.640625,0
2007-12-03,9391.090660085843,9804.43544831528,9340.940854395067,9795.9853515625,0
2007-12-10,9800.085971885157,10124.631993875335,9723.486278743852,9803.0361328125,0
2007-12-17,9790.436049359736,9792.036616700201,9125.34416770438,9245.3427734375,0
2007-12-24,9316.341888499872,9842.535966561192,9316.341888499872,9828.2353515625,0
2007-12-31,9861.585379897731,10333.17949864701,9790.286405322331,10233.0810546875,0
2008-01-07,9982.983301708753,10634.076302027295,9948.23370656211,10561.4267578125,0
2008-01-14,10614.726151907871,10774.025080388243,9648.337977686564,9739.787109375,0
2008-01-21,9671.288048516717,9827.185651665786,7958.857744870108,9752.13671875,0
2008-01-28,9748.236314615351,10113.2320726063,9002.095572258515,9326.94140625,0
2008-02-04,9444.290555084348,9708.486701276766,8624.649696747272,8816.8974609375,0
2008-02-11,8841.09710350686,9403.59054453982,8216.804578395968,9379.9404296875,0
2008-02-18,9411.141004197203,9538.589723453242,8641.899913217929,8684.9990234375,0
2008-02-25,8715.6989009562,8903.347119132886,8248.654503353426,8688.2490234375,0
2008-03-03,8460.501277704345,8460.501277704345,7064.417894225065,7268.0654296875,0
2008-03-10,7163.4168127410485,7705.560419284657,6840.570464231819,7105.91748046875,0
2008-03-17,6955.918987910018,6955.918987910018,6334.926220300455,6456.474609375,0
2008-03-24,6461.574587125154,7230.715524468648,6456.724546000311,7037.76806640625,0
2008-03-31,6970.468682046106,6970.468682046106,6446.625169186473,6545.07373046875,0
2008-04-07,6485.324421503773,7094.767523681947,6485.324421503773,6838.37060546875,0
