datetime,open,high,low,close,volume
2025-12-10 09:00:00,59277.8984375,59356.69921875,59190.8984375,59316.44921875,0.0
2025-12-10 09:30:00,59313.8515625,59440.1015625,59310.94921875,59336.69921875,0.0
2025-12-10 10:00:00,59339.5,59427.69921875,59330.80078125,59380.6484375,0.0
2025-12-10 10:30:00,59378.44921875,59410.5,59188.3984375,59188.75,0.0
2025-12-10 11:00:00,59191.0,59232.1015625,59092.44921875,59093.0,0.0
2025-12-10 11:30:00,59092.75,59095.75,58974.94921875,59035.25,0.0
2025-12-10 12:00:00,59034.75,59087.3984375,58984.8984375,58985.94921875,0.0
2025-12-10 12:30:00,58986.25,58992.75,58895.19921875,58964.25,0.0
2025-12-10 13:00:00,58965.55078125,59081.69921875,58935.75,59074.55078125,0.0
2025-12-10 13:30:00,59076.3515625,59091.8984375,58945.1484375,58959.25,0.0
2025-12-10 14:00:00,58960.6015625,58973.25,58856.3515625,58886.5,0.0
2025-12-10 14:30:00,58886.3984375,59003.1484375,58882.1484375,58970.30078125,0.0
2025-12-10 15:00:00,58975.75,59009.55078125,58910.30078125,58938.30078125,0.0
2025-12-11 09:00:00,58980.69921875,59093.3515625,58863.69921875,59093.3515625,0.0
2025-12-11 09:30:00,59097.55078125,59113.3984375,58801.55078125,58848.69921875,0.0
2025-12-11 10:00:00,58847.55078125,59175.94921875,58841.30078125,59145.3984375,0.0
2025-12-11 10:30:00,59148.1484375,59246.8984375,59128.94921875,59149.19921875,0.0
2025-12-11 11:00:00,59149.1484375,59218.25,59078.8515625,59183.5,0.0
2025-12-11 11:30:00,59185.5,59274.1015625,59171.25,59252.19921875,0.0
2025-12-11 12:00:00,59252.75,59423.3515625,59252.75,59393.05078125,0.0
2025-12-11 12:30:00,59390.1015625,59412.0,59303.55078125,59326.30078125,0.0
2025-12-11 13:00:00,59327.75,59337.6015625,59139.8984375,59212.75,0.0
2025-12-11 13:30:00,59210.3984375,59302.25,59210.3984375,59261.80078125,0.0
2025-12-11 14:00:00,59260.69921875,59322.3515625,59174.69921875,59312.8984375,0.0
2025-12-11 14:30:00,59316.55078125,59326.05078125,59135.6484375,59174.30078125,0.0
2025-12-11 15:00:00,59175.3984375,59240.44921875,59175.3984375,59204.6015625,0.0
2025-12-12 09:00:00,59401.5,59441.94921875,59340.25,59417.8984375,0.0
2025-12-12 09:30:00,59419.3515625,59545.19921875,59419.3515625,59483.30078125,0.0
2025-12-12 10:00:00,59484.3515625,59496.5,59279.75,59325.3515625,0.0
